Index Number;Name;Address;Project Status;Occupancy Year;Operator;Clientele- Families;Clientele - Seniors;Clientele - Other;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;URL;Geom
132;Skeena Terrace - West;3400 E 5th Av;Completed;1962;BC Housing;69;69;0;0;0;0;0;0;0;0;0;0;0;48;30;19;20;21;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=132;"{""coordinates"": [-123.03033314, 49.26414502], ""type"": ""Point""}"
133;Royal Arch Masonic Apartments;7780 Champlain Cr;Completed;1982;Royal Arch Masonic Homes;0;75;0;5;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=133;"{""coordinates"": [-123.02892955, 49.21403506], ""type"": ""Point""}"
134;Charleswood Court;1515 Charles St;Completed;1986;More Than a Roof Housing Society;22;0;4;1;0;0;0;0;0;0;0;0;0;3;19;3;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=134;"{""coordinates"": [-123.07301669, 49.27331573], ""type"": ""Point""}"
140;Le Coeur Co-op;3502-3672 Cordiale Dr;Completed;1982;Le Coeur Co-op Housing Association;63;0;14;0;0;0;0;0;0;0;0;0;0;14;26;33;4;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=140;"{""coordinates"": [-123.02601179, 49.20962267], ""type"": ""Point""}"
145;Mavis McMullen Place;430 E Cordova St;Completed;1988;Mavis McMullen Housing Society;10;24;0;1;0;0;0;0;0;0;0;0;0;7;7;3;0;16;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=145;"{""coordinates"": [-123.09447792, 49.28192592], ""type"": ""Point""}"
154;De Cosmos Village Co-op;3564 Dease Lane;Completed;1972;De Cosmos Village Co-op Housing Association;110;0;0;0;0;0;0;0;0;0;0;0;0;0;31;74;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=154;"{""coordinates"": [-123.02554929, 49.2228022], ""type"": ""Point""}"
155;Marin Vista;8430 Aqua Dr;Completed;1985;Affordable Housing Societies;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=155;"{""coordinates"": [-123.06367471, 49.20768611], ""type"": ""Point""}"
158;Killarney Gardens;6620 Elliott St;Completed;1966;BC Housing;0;124;29;0;0;0;0;0;0;0;0;0;0;59;0;0;0;84;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=158;"{""coordinates"": [-123.05403611, 49.22319619], ""type"": ""Point""}"
168;W.A. Street Homes;837 E Georgia St;Completed;1986;Affordable Housing Societies;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=168;"{""coordinates"": [-123.08637889, 49.27857263], ""type"": ""Point""}"
172;Beatrice Terrace;1877 E Georgia St;Completed;1988;Entre Nous Femmes Housing Society;18;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=172;"{""coordinates"": [-123.06617155, 49.27866977], ""type"": ""Point""}"
174;Grandview Gardens;2535 Grandview Hwy N;Completed;1977;Metro Vancouver Housing Corporation;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=174;"{""coordinates"": [-123.05390317, 49.25849645], ""type"": ""Point""}"
181;Natalia Terrace;3510 SE Marine Dr;Completed;1992;Entre Nous Femmes Housing Society;41;0;0;0;0;0;0;0;0;0;0;0;0;0;25;16;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=181;"{""coordinates"": [-123.02876493, 49.20726071], ""type"": ""Point""}"
186;Barclay Heritage Square;1416 Haro St;Completed;1985;City of Vancouver;18;0;0;0;1;0;0;0;0;0;0;0;0;0;6;11;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=186;"{""coordinates"": [-123.13182158, 49.28736751], ""type"": ""Point""}"
189;Ford Building;375 Main St;Completed;1985;Affordable Housing Societies;0;0;76;0;0;0;0;0;0;0;0;0;0;7;0;0;0;69;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=189;"{""coordinates"": [-123.10009785, 49.28160293], ""type"": ""Point""}"
190;Bill Hennessy Place;501 E Hastings St;Completed;1984;Sch'eyk Housing Society;17;0;53;6;0;0;0;0;0;0;0;0;0;23;17;0;0;24;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=190;"{""coordinates"": [-123.09283543, 49.28150447], ""type"": ""Point""}"
192;Jennie Pentland Place;540 E Hastings St;Completed;1987;Sch'eyk Housing Society;17;0;69;2;0;0;0;7;0;0;0;0;0;23;11;6;0;37;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=192;"{""coordinates"": [-123.09305566, 49.28089739], ""type"": ""Point""}"
193;Shon Yee Place;628 E Hastings St;Completed;1988;Shon Yee Benevolent Association of Canada;0;72;0;4;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=193;"{""coordinates"": [-123.09102024, 49.28085873], ""type"": ""Point""}"
196;"Co-op Demers ""La Bruyere""";3196 Heather St;Completed;1976;"Co-op Demers ""La Bruyere"" Co-op Hsg Assoc.";7;0;21;0;0;0;0;0;0;0;0;0;0;21;6;1;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=196;"{""coordinates"": [-123.11963072, 49.25726946], ""type"": ""Point""}"
198;Brookland Court;540 Helmcken St;Completed;1989;The 127 Society for Housing;0;78;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;70;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=198;"{""coordinates"": [-123.12347769, 49.2772737], ""type"": ""Point""}"
200;Goodson Korsch Residence;1260 Howe St;Completed;1989;Vancouver Jewish Building Society;0;65;0;3;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=200;"{""coordinates"": [-123.12782053, 49.27701245], ""type"": ""Point""}"
202;MacLean Park - Phase II;350 Keefer St;Completed;1970;BC Housing;139;161;0;0;0;0;0;0;0;0;0;0;0;70;72;45;22;91;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=202;"{""coordinates"": [-123.09530078, 49.27849526], ""type"": ""Point""}"
219;Twin Rainbows Co-op;1415 Lamey's Mill Rd;Completed;1981;Twin Rainbows Co-op Housing Association;25;0;18;0;2;0;0;0;0;0;0;0;0;18;13;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=219;"{""coordinates"": [-123.13586996, 49.26788454], ""type"": ""Point""}"
229;Vera Co-op;531 SW Marine Dr;Completed;1985;Vera Co-op Housing Association;31;0;38;3;0;0;0;0;0;0;0;0;0;35;7;24;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=229;"{""coordinates"": [-123.11952291, 49.20965032], ""type"": ""Point""}"
230;Ashdown Gardens;590 SW Marine Dr;Completed;1982;Metro Vancouver Housing Corporation;30;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=230;"{""coordinates"": [-123.11847601, 49.20912755], ""type"": ""Point""}"
231;Wits' End Co-op;1592 SW Marine Dr;Completed;1986;Wits' End Co-op Housing Association;43;0;9;0;2;0;0;0;0;0;0;0;0;9;23;13;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=231;"{""coordinates"": [-123.14375724, 49.20824039], ""type"": ""Point""}"
235;Cedar Mill Co-op;3381 Marquette Cr;Completed;1982;Cedar Mill Co-op Housing Association;43;0;10;2;0;6;0;0;0;0;0;0;0;8;19;13;5;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=235;"{""coordinates"": [-123.03115912, 49.21293165], ""type"": ""Point""}"
244;Orchard Park;5701 Nanaimo St;Completed;1959;BC Housing;117;52;0;4;0;0;0;4;0;0;0;0;0;30;64;50;3;14;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=244;"{""coordinates"": [-123.05939466, 49.23115573], ""type"": ""Point""}"
245;Watershed Co-op;1416 Napier St;Completed;1981;Watershed Co-op Housing Association;11;0;3;0;0;0;0;0;0;0;0;0;0;3;5;4;2;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=245;"{""coordinates"": [-123.07496109, 49.27451785], ""type"": ""Point""}"
254;Pacific Heights Co-op;1019 Pacific St;Completed;1985;Pacific Heights Co-op Housing Association;79;0;12;5;0;0;0;0;0;0;0;0;0;7;56;23;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=254;"{""coordinates"": [-123.13276735, 49.2776072], ""type"": ""Point""}"
256;China Villa;300 E Pender St;Completed;1971;Christ Church of China;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;47;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=256;"{""coordinates"": [-123.09649954, 49.28003018], ""type"": ""Point""}"
262;Lu'Ma Housing (Pender St);1710 E Pender St;Completed;1986;Lu'Ma Native Housing Society;16;0;11;0;0;0;0;0;0;0;0;0;0;7;12;4;0;4;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=262;"{""coordinates"": [-123.07002235, 49.28001135], ""type"": ""Point""}"
266;WISHS Co-op;3348 W Broadway;Completed;1994;WISHS Co-op Housing Association;0;0;36;0;0;0;0;0;0;4;0;0;0;32;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=266;"{""coordinates"": [-123.17869216, 49.26396627], ""type"": ""Point""}"
270;Harbour Cove Co-op;1515 W 1st Ave;Completed;1986;Harbour Cove Co-op Housing Association;15;0;6;2;2;1;0;0;0;0;0;0;0;4;8;4;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=270;"{""coordinates"": [-123.14128903, 49.27205665], ""type"": ""Point""}"
271;Jericho Place;3890 Point Grey Rd;Completed;1979;Dunbar Village Co-op Housing Association;11;0;4;0;0;0;0;0;0;0;0;0;0;4;9;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=271;"{""coordinates"": [-123.1908124, 49.27094926], ""type"": ""Point""}"
275;Cecilia House;315 Powell St;Completed;1986;The Bloom Group;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=275;"{""coordinates"": [-123.09728984, 49.2833943], ""type"": ""Point""}"
280;Princess Place;321 Princess Ave;Completed;1991;Affordable Housing Societies;61;0;0;0;3;0;0;0;0;0;0;0;0;0;39;19;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=280;"{""coordinates"": [-123.09196577, 49.28187669], ""type"": ""Point""}"
281;Chinese Freemason's Manor;768 Prior St;Completed;1989;Chinese Freemason's Housing Society of B.C.;0;81;0;2;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=281;"{""coordinates"": [-123.08863524, 49.27631598], ""type"": ""Point""}"
282;Chelsea Lane;1680 E 6th Ave;Completed;1993;New Chelsea Society;16;27;2;2;0;0;0;0;0;0;0;0;0;27;16;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=282;"{""coordinates"": [-123.07061566, 49.26471157], ""type"": ""Point""}"
286;Rupert Lane;4830 Rupert St;Completed;1971;BC Housing;42;0;0;0;0;0;0;0;0;0;0;0;0;17;16;6;3;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=286;"{""coordinates"": [-123.03639148, 49.24060975], ""type"": ""Point""}"
288;Coleopy Park;5748 Rupert St;Completed;1991;Brightside Community Homes Foundation;22;36;0;0;2;2;0;0;0;0;0;0;0;36;8;8;2;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=288;"{""coordinates"": [-123.04269371, 49.23202084], ""type"": ""Point""}"
289;Grace MacInnis Co-op;825 Salsbury Dr;Completed;1986;Grace MacInnis Co-op Housing Association;27;0;4;0;1;0;0;0;0;0;0;0;0;4;14;12;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=289;"{""coordinates"": [-123.06888997, 49.27729408], ""type"": ""Point""}"
290;Grandview Tower #3;1420 E 2nd Ave;Completed;1974;Baptist Housing Society of B.C.;0;55;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;45;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=290;"{""coordinates"": [-123.07464212, 49.26829628], ""type"": ""Point""}"
294;Alder Bay Co-op;1256 Shorepine  Walk;Completed;1980;Alder Bay Co-op Housing Association;87;0;8;0;0;0;0;0;0;0;0;0;0;8;47;40;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=294;"{""coordinates"": [-123.1340075, 49.26771357], ""type"": ""Point""}"
295;Robson Park Co-op (Phase II);3335-45 Sophia St;Completed;1983;Robson Park Co-op Housing Association;4;0;3;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=295;"{""coordinates"": [-123.09872617, 49.25501914], ""type"": ""Point""}"
297;Robson Park Co-op (Phase I);2832 St George St;Completed;1982;Robson Park Co-op Housing Association;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=297;"{""coordinates"": [-123.09273013, 49.25909002], ""type"": ""Point""}"
298;La Petite Maison Co-op;7401 Talon Square;Completed;1978;La Petite Maison Co-op Housing Association;66;0;0;0;0;0;0;0;0;0;0;0;0;0;24;38;4;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=298;"{""coordinates"": [-123.02619985, 49.21703561], ""type"": ""Point""}"
300;Van Coeverden Court;1091 Sitka Square;Completed;1977;New Chelsea Society;74;0;51;6;2;0;1;0;0;0;0;0;0;21;39;20;12;24;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=300;"{""coordinates"": [-123.13016336, 49.26687114], ""type"": ""Point""}"
303;Alexander Laidlaw Co-op;3641 Tuaq Dr;Completed;1982;Alexander Laidlaw Co-op Housing Association;77;0;10;0;0;0;0;0;0;0;0;0;0;10;42;27;8;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=303;"{""coordinates"": [-123.02555612, 49.20868184], ""type"": ""Point""}"
304;Sunbridge Co-op;3450 SE Marine Dr;Completed;1992;Sunbridge Co-op Housing Association;38;0;2;0;0;0;0;0;0;0;0;0;0;2;28;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=304;"{""coordinates"": [-123.03018455, 49.20738444], ""type"": ""Point""}"
306;Solheim Place;251 Union St;Completed;1993;S.U.C.C.E.S.S.;26;52;8;8;0;0;0;0;0;0;0;0;0;52;14;12;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=306;"{""coordinates"": [-123.0979086, 49.27788193], ""type"": ""Point""}"
308;Vancouver East Co-op;2033 Ferndale St;Completed;1981;Vancouver East Co-op Housing Association;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=308;"{""coordinates"": [-123.06279932, 49.27992564], ""type"": ""Point""}"
309;Chelsea Corner;3548 Victoria Dr;Completed;1991;New Chelsea Society;28;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;2;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=309;"{""coordinates"": [-123.0656301, 49.25319001], ""type"": ""Point""}"
312;Penta Co-op;1707 Wallace St;Completed;1978;Penta Co-op Housing Association;18;0;2;0;2;0;0;0;0;0;0;0;0;2;7;9;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=312;"{""coordinates"": [-123.18996814, 49.27107928], ""type"": ""Point""}"
313;Steeves Manor;1985 Wallace St;Completed;1975;BC Housing;0;200;0;6;0;0;0;17;0;0;0;0;0;132;1;0;0;44;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=313;"{""coordinates"": [-123.19139629, 49.26946318], ""type"": ""Point""}"
320;Wilson Heights Manor;1602 E 41st Ave;Completed;1991;Brightside Community Homes Foundation;8;7;0;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=320;"{""coordinates"": [-123.07256746, 49.23238482], ""type"": ""Point""}"
322;Chelsea Court;2390 Grandview Hwy S.;Completed;1994;New Chelsea Society;31;0;1;1;0;0;0;0;0;0;0;0;0;0;19;9;3;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=322;"{""coordinates"": [-123.05716498, 49.2575755], ""type"": ""Point""}"
325;Longwater Park;1774 E Kent Ave S;Completed;1995;Affordable Housing Societies;42;0;0;0;0;2;0;0;0;0;0;0;0;0;16;20;4;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=325;"{""coordinates"": [-123.06946548, 49.20783398], ""type"": ""Point""}"
328;Anita Lewis Co-op;5003 Boundary Rd;Completed;1996;Anita Lewis Co-op Housing Association;21;0;2;0;0;0;0;0;0;0;0;0;0;2;13;8;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=328;"{""coordinates"": [-123.02403574, 49.23928138], ""type"": ""Point""}"
329;Haley Place;1810 E Georgia;Completed;1995;Mavis McMullen Housing Society;26;0;13;0;0;0;0;0;0;0;0;0;0;13;21;5;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=329;"{""coordinates"": [-123.06779536, 49.27818046], ""type"": ""Point""}"
330;Jim Green Residence;415 Alexander St;Completed;1996;Lookout Housing and Health Society;0;0;66;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=330;"{""coordinates"": [-123.09478791, 49.28426436], ""type"": ""Point""}"
331;Thompson Court;600 Vernon Dr;Completed;1997;Pacific Community Resources Society;0;0;15;2;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=331;"{""coordinates"": [-123.07886158, 49.27923858], ""type"": ""Point""}"
335;Collingwood Tower;5657 Harold St;Completed;1978;Brightside Community Homes Foundation;0;78;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;66;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=335;"{""coordinates"": [-123.03625358, 49.23266161], ""type"": ""Point""}"
337;The Wellspring;415 Nelson St;Completed;1997;The 127 Society for Housing;0;0;90;2;0;0;0;0;0;8;0;0;0;80;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=337;"{""coordinates"": [-123.12011537, 49.27770753], ""type"": ""Point""}"
340;The CBA Manor;32 W Pender St;Completed;1998;CBA Housing Society;17;27;0;3;1;0;0;0;0;24;0;0;0;0;6;10;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=340;"{""coordinates"": [-123.10540501, 49.28030099], ""type"": ""Point""}"
341;Lions Millenium Place;3655 Clark Dr;Completed;1999;Lions Paraplegic Lodge Society;0;0;39;12;4;2;0;0;0;6;10;5;0;0;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=341;"{""coordinates"": [-123.07858216, 49.25232759], ""type"": ""Point""}"
346;Hooper Apartments;1188 Pendrell St;Completed;1997;Coast Mental Health;0;0;31;0;0;0;0;2;0;0;0;0;0;22;0;0;0;7;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=346;"{""coordinates"": [-123.1321936, 49.28216748], ""type"": ""Point""}"
349;Quayside;1010 Pacific Blvd;Completed;1999;Red Door Housing Society;84;9;0;1;4;0;0;0;0;0;0;0;0;8;45;25;10;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=349;"{""coordinates"": [-123.1155317, 49.27357694], ""type"": ""Point""}"
355;Hydrecs House;2756 Victoria Dr;Completed;1994;Coast Mental Health;0;0;9;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=355;"{""coordinates"": [-123.06556434, 49.25982107], ""type"": ""Point""}"
360;New Chelsea Gardens - Seniors;995 E 52nd Ave;Completed;1996;New Chelsea Society;0;54;0;4;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=360;"{""coordinates"": [-123.08585372, 49.22287534], ""type"": ""Point""}"
361;Ian Leman Place;27 W Pender St;Completed;2000;BC Indigenous Housing Society;0;0;98;6;0;0;0;5;0;0;0;0;0;10;0;0;0;77;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=361;"{""coordinates"": [-123.10573543, 49.28104614], ""type"": ""Point""}"
362;Seymour Place;1221 Seymour St;Completed;2000;Affordable Housing Societies;0;0;136;0;0;0;0;9;0;0;0;0;0;10;0;0;0;117;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=362;"{""coordinates"": [-123.12591112, 49.27641924], ""type"": ""Point""}"
370;Clarendon Court;6404 Clarendon St;Completed;2006;Baptist Housing Society of B.C.;0;56;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=370;"{""coordinates"": [-123.05546629, 49.22554107], ""type"": ""Point""}"
372;Hotel Irving;101 E Hastings St;Completed;1999;PHS Community Services Society;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=372;"{""coordinates"": [-123.10200044, 49.28168281], ""type"": ""Point""}"
376;The Oasis;40 E Hastings St;Completed;2000;Neighbourhood Housing Society;0;0;84;0;0;0;0;1;0;0;0;0;0;0;0;0;0;83;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=376;"{""coordinates"": [-123.10334863, 49.28110142], ""type"": ""Point""}"
377;Norah Davis Gardens;2320 Franklin St;Completed;2001;Kiwassa Housing Society;28;0;5;1;0;1;0;0;0;0;0;0;0;5;13;10;3;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=377;"{""coordinates"": [-123.05727353, 49.2818226], ""type"": ""Point""}"
382;Lore Krill Co-op;65 W Cordova St;Completed;2002;Lore Krill Co-operative Housing Association;10;0;96;0;0;0;0;0;0;0;0;0;0;82;10;0;0;14;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=382;"{""coordinates"": [-123.10598488, 49.28306444], ""type"": ""Point""}"
386;Lore Krill Co-op;239 E Georgia St;Completed;2002;Lore Krill Co-operative Housing Association;42;0;55;0;0;0;0;3;0;0;0;0;0;52;23;9;10;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=386;"{""coordinates"": [-123.09841302, 49.27881639], ""type"": ""Point""}"
389;Claude Douglas Place;2626 Watson St;Completed;2001;BC Indigenous Housing Society;0;0;39;0;0;0;0;0;0;0;0;0;0;1;0;0;0;38;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=389;"{""coordinates"": [-123.10014836, 49.26173676], ""type"": ""Point""}"
391;Bridget Moran Place;668 Powell St;Completed;2001;Neighbourhood Housing Society;0;0;61;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=391;"{""coordinates"": [-123.09001295, 49.28274762], ""type"": ""Point""}"
397;Lookout - Yukon;2088 Yukon St;Completed;2002;Lookout Housing and Health Society;0;0;37;0;0;0;0;2;0;0;0;0;0;5;0;0;0;30;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=397;"{""coordinates"": [-123.11236726, 49.26689088], ""type"": ""Point""}"
399;YWCA Crabtree Corner;533 E Hastings St;Completed;2003;YWCA Vancouver;0;0;12;2;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=399;"{""coordinates"": [-123.09237802, 49.28150949], ""type"": ""Point""}"
403;Vancouver East Co-op;1109 Victoria Dr;Completed;1980;Vancouver East Co-op Housing Association;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=403;"{""coordinates"": [-123.06589423, 49.27456138], ""type"": ""Point""}"
404;Vancouver East Co-op;1803 Kitchener St;Completed;1981;Vancouver East Co-op Housing Association;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=404;"{""coordinates"": [-123.06744889, 49.27233281], ""type"": ""Point""}"
408;W.A. Street Homes;1030 Keefer St;Completed;1986;Affordable Housing Societies;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=408;"{""coordinates"": [-123.08169313, 49.27888925], ""type"": ""Point""}"
410;W.A. Street Homes;1153 E Pender St;Completed;1986;Affordable Housing Societies;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=410;"{""coordinates"": [-123.08006139, 49.28028632], ""type"": ""Point""}"
