Index Number;Name;Address;Project Status;Occupancy Year;Operator;Clientele- Families;Clientele - Seniors;Clientele - Other;Design - Accessible 1BR;Design - Accessible 2BR;Design - Accessible 3BR;Design - Accessible 4BR;Design - Accessible Studio;Design - Accessible Room;Design - Adaptable 1BR;Design - Adaptable 2BR;Design - Adaptable 3BR;Design - Adaptable 4BR;Design - Standard 1BR;Design - Standard 2BR;Design - Standard 3BR;Design - Standard 4BR;Design - Standard Studio;Design - Standard Room;URL;Geom
807;Riverwalk;3185 Riverwalk Ave;Completed;2021;S.U.C.C.E.S.S.;72;0;37;;5;;;;;;;;;30;43;24;;7;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=807;"{""coordinates"": [-123.03904061, 49.20603626], ""type"": ""Point""}"
812;Aspen;2221 Main St;Completed;2021;Catalyst Community Developments Society;72;0;73;;;;;;;;;;;43;43;30;;29;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=812;"{""coordinates"": [-123.10137992, 49.2651573], ""type"": ""Point""}"
816;2930 Renfrew St;2930 Renfrew St;Approved;;Lu'Ma Native Housing Society;0;0;76;;;;;9;;;;;;;;;;76;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=816;"{""coordinates"": [-123.04384756, 49.25770435], ""type"": ""Point""}"
817;1015 E Hastings St;1015 E Hastings St;Under Construction;;Community Land Trust Foundation of BC;49;0;63;11;;;;;;;;;;17;39;10;;35;;;"{""coordinates"": [-123.08179571, 49.28130782], ""type"": ""Point""}"
818;The Stanley;53 W Cordova St;Completed;2022;PHS Community Services Society;0;0;80;4;;;;;;;;;;18;;;;62;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=818;
820;Bob & Michael's Place;58 W Hastings St;Completed;2024;S.U.C.C.E.S.S.;0;0;231;4;12;;;30;;;;;;8;30;;;101;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=820;
821;1766 Frances St;1766 Frances St;Under Construction;;;32;0;49;8;;;;;;;;;;;17;5;10;41;;;"{""coordinates"": [-123.06892602, 49.2790927], ""type"": ""Point""}"
824;North Arm Housing Co-op;710 E 19th Ave;Completed;2023;North Arm Housing Co-op;0;58;0;5;;;;;;;;;;27;;;;21;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=824;"{""coordinates"": [-123.08952659, 49.25345583], ""type"": ""Point""}"
828;Oakridge Centre - Phase 2 Building 9;650 W 41st Ave;Approved;;;0;0;103;;;;;;;;;;;0;0;0;;;;;"{""coordinates"": [-123.11885482, 49.23206523], ""type"": ""Point""}"
837;Hummingbird Place;265 W 1st Ave;Completed;2019;PHS Community Services Society;0;0;52;;;;;6;;;;;;;;;;46;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=837;"{""coordinates"": [-123.11113923, 49.27071415], ""type"": ""Point""}"
840;Naomi Place;3598 Copley St;Completed;2020;Community Builders Group;0;0;58;;;;;6;;;;;;;;;;52;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=840;"{""coordinates"": [-123.05840305, 49.24966647], ""type"": ""Point""}"
842;Chartrand Place;1131 Franklin St;Completed;2018;PHS Community Services Society;0;0;39;;;;;7;;;;;;;;;;32;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=842;"{""coordinates"": [-123.0805724, 49.28257659], ""type"": ""Point""}"
845;Margaret Mitchell Place;2132 Ash St;Completed;2018;PHS Community Services Society;0;0;52;;;;;6;;;;;;;;;;46;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=845;"{""coordinates"": [-123.11595666, 49.26682692], ""type"": ""Point""}"
851;Vienna House;2009-2037 Stainsbury Ave;Under Construction;;More Than a Roof Housing Society;57;0;66;;;;;;;;;;;37;35;16;6;29;;;
853;305 Main;305 Main St;Proposed;;Happy Harvest;32;0;86;;;;;;;;;;;29;26;6;;57;;;"{""coordinates"": [-123.10007981, 49.28202383], ""type"": ""Point""}"
856;2086-2098 W 7th Ave & 2091 W 8th Avenue;2086-2098 W 7th Ave;Approved;;MPA Society;0;0;129;;;;;20;;;;;;;;;;129;;;
858;450 Alexander St;418-496 Alexander St;Approved;;Atira Women’s Resource Society;79;0;101;;;;;;;;;;;86;56;23;;15;;;"{""coordinates"": [-123.09425793, 49.28372966], ""type"": ""Point""}"
865;Jewish Community Centre;950 W 41st Ave;Approved;;;149;0;150;;;;;;;;;;;90;90;59;;60;;;"{""coordinates"": [-123.12599122, 49.23344379], ""type"": ""Point""}"
867;835 - 837 E Hastings;835 - 837 E Hastings St;Approved;;Lee's Benevolent Adssociation of Canada;0;40;0;;;;;;;;;;;;;;;40;;;"{""coordinates"": [-123.08641094, 49.28138463], ""type"": ""Point""}"
868;601 Beach Crescent;601 Beach Crescent;Approved;;;55;0;97;;;;;;;;;;;77;30;25;;20;;;"{""coordinates"": [-123.12954822, 49.27398575], ""type"": ""Point""}"
872;Harwood Manor;1222 Harwood St;Completed;1999;Brightside Community Homes Foundation;0;25;0;;;;;;;;;;;9;0;0;0;16;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=872;"{""coordinates"": [-123.13636545, 49.28054963], ""type"": ""Point""}"
875;Luu-gat (Howard Johnson);1176 Granville St;Completed;2020;Atira Property Management Inc.;0;0;110;;;;;;;;;;;;;;;;110;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=875;"{""coordinates"": [-123.1253448, 49.27732807], ""type"": ""Point""}"
876;Buchan Hotel;1906 Haro St;Completed;2020;Atira Women’s Resource Society;0;0;63;;;;;;;;;;;;;;;;63;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=876;"{""coordinates"": [-123.13856594, 49.29171537], ""type"": ""Point""}"
879;Lion's View - Building III;2975 Horley St;Completed;1995;Brightside Community Homes Foundation;0;34;0;;;;;;;;;;;34;0;0;0;0;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=879;"{""coordinates"": [-123.04413053, 49.23966521], ""type"": ""Point""}"
881;City Heights;155 E 37th Ave;Completed;2014;More Than a Roof Housing Society;0;53;0;1;;;;;;;;;;46;6;0;0;0;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=881;"{""coordinates"": [-123.10260504, 49.23763885], ""type"": ""Point""}"
882;Jubilee Rooms;235 Main St;Completed;2018;Raincity Housing and Support Society;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=882;"{""coordinates"": [-123.10005685, 49.28263269], ""type"": ""Point""}"
884;Langara Family YMCA;282 W 49th Ave;Approved;;YWCA Vancouver;35;0;35;;;;;;;;;;;24;29;17;0;18;0;;"{""coordinates"": [-123.11234239, 49.22533108], ""type"": ""Point""}"
887;1063-1075 Barclay St;1063-1075 Barclay St;Approved;;;69;0;18;;;;;;;;;;;18;47;22;0;0;0;;"{""coordinates"": [-123.12635834, 49.28319893], ""type"": ""Point""}"
892;622 SW Marine Dr;622 SW Marine Dr;Under Construction;;YWCA Vancouver;28;0;0;;;;;;;;;;;0;19;9;0;0;0;;
899;The Aster;349 E 6th Ave;Completed;2024;Brightside Community Homes Foundation;22;60;0;3;2;;;;;;;;;19;14;4;0;35;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=899;"{""coordinates"": [-123.09724906, 49.2656987], ""type"": ""Point""}"
900;162 Main St;162 Main St;Completed;2023;MPA Society;0;0;68;;;;;;;;;;;0;0;0;0;68;0;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=900;"{""coordinates"": [-123.09911107, 49.28349233], ""type"": ""Point""}"
908;Thornton Hotel;956 Main St;Completed;2021;BC Housing;0;0;22;;;;;;;;;;;;;;;;22;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=908;"{""coordinates"": [-123.09949955, 49.27587204], ""type"": ""Point""}"
916;Oneesan Housing for Women;502 Alexander St;Completed;2013;Atira Women’s Resource Society;0;12;0;;;;;;;;;;;;;;;12;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=916;"{""coordinates"": [-123.09308337, 49.28370817], ""type"": ""Point""}"
924;Skeena Terrace;2108-2408 Cassiar St;Approved;;;1146;0;778;;;;;;;;;;;746;884;237;25;32;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=924;"{""coordinates"": [-123.03033314, 49.26414502], ""type"": ""Point""}"
926;Shawn Oaks;5505 Oak St;Proposed;;Affordable Housing Societies;63;0;117;;;;;;;;;;;;;;;;;;"{""coordinates"": [-123.12901006, 49.23571799], ""type"": ""Point""}"
929;;998 E 19th Ave;Approved;;;0;0;105;22;3;;;;;;;;;37;26;12;;30;;;"{""coordinates"": [-123.08438908, 49.25336844], ""type"": ""Point""}"
934;;1710-1730 E Pender St;Approved;;Lu'Ma Native Housing Society;71;0;120;;;;;;;;;;;120;38;28;5;;;;"{""coordinates"": [-123.07002235, 49.28001135], ""type"": ""Point""}"
948;Brennan's Place;545 E Cordova;Completed;2024;Lookout Housing and Health Society;0;0;20;;;;;;;;;;;;;;;20;;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=948;"{""coordinates"": [-123.0923813, 49.28240033], ""type"": ""Point""}"
989;Murray Hotel;1119 Hornby;Completed;2017;Atira Women’s Resource Society;0;0;95;;;;;;;;;;;;;;;;95;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=989;"{""coordinates"": [-123.12750154, 49.27940628], ""type"": ""Point""}"
993;Hazelton Residence;346 Alexander St;Completed;1981;Lookout Housing and Health Society;0;0;40;;;;;;;;;;;;;;;;40;https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=993;"{""coordinates"": [-123.09632589, 49.28376978], ""type"": ""Point""}"
